"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","a) Includes FISIM (Financial Intermediation Services Indirectly Measured), with partner World only. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Exclude military goods, fissionable materials, bunkers."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 2010: data exclude trade with BLNS countries (Botswana, Lesotho, Namibia, Swaziland -  2010 value excluding SACU members would be $80.9 Billion). Prior to 98 data refer to the SACU (include trade of Botswana-Lesotho-Swaziland-Namibia and South Africa). 73-79: exclude certain mineral oils."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","a) Includes FISIM (Financial Intermediation Services Indirectly Measured), with partner World only. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","a) Includes FISIM (Financial Intermediation Services Indirectly Measured), with partner World only. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AUVXF","Merchandise export unit value fixed-base indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","446","MAC","Macao, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Data do not include imports for re-exports"
"Merchandise trade - indices and prices","ITS_MTP_AXF","Merchandise export value fixed-base indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AXVF","Merchandise export volume fixed-base indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value chained indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AXVG","Merchandise export volume change - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","APC","% change over previous year","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S288","Audio-visual and related services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S288","Audio-visual and related services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S260","Financial services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S288","Audio-visual and related services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume chained indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AMVF","Merchandise import volume fixed-base indices - annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Beginning 2010: UV index as weighted average of national UVI (excluding gold) and gold UVI (through GTIS GTA). Volume is derived."
"Merchandise trade - indices and prices","ITS_MTP_AUVMF","Merchandise import unit value fixed-base indices - annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Beginning 2010: UV index as weighted average of national UVI (excluding gold) and gold UVI (through GTIS GTA). Volume is derived."
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value chained indices - annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Beginning 2010: UV index as weighted average of national UVI (excluding gold) and gold UVI (through GTIS GTA). Volume is derived."
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume chained indices - annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Beginning 2010: UV index as weighted average of national UVI (excluding gold) and gold UVI (through GTIS GTA). Volume is derived."
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value chained indices - annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Beginning 2010: UV index as weighted average of national UVI (excluding gold) and gold UVI (through GTIS GTA). Volume is derived."
"Merchandise trade - indices and prices","ITS_MTP_AMVG","Merchandise import volume change - annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","APC","% change over previous year","Coverage","Beginning 2010: UV index as weighted average of national UVI (excluding gold) and gold UVI (through GTIS GTA). Volume is derived."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200CS","Commercial services (Services excl. government services)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S260","Financial services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S236","Travel","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S249","Construction","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S249","Construction","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 2010: data exclude trade with BLNS countries (Botswana, Lesotho, Namibia, Swaziland - 2010 value excluding SACU members would be $41.2 Billion). Prior to 98 data refer to the SACU (the difference in magnitude betweeen SACU imports and South Africa imports is low enough - 2% in 98 - so there is no break flag in 98)."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","a) May cover transactions belonging to other services items for 2002-2012. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","710","ZAF","South Africa","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","Covers construction, financial, computer and information services and personal, cultural and recreational services prior to 2001"
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","710","ZAF","South Africa","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","Covers construction, financial, computer and information services and personal, cultural and recreational services prior to 2001"
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","a) Includes FISIM (Financial Intermediation Services Indirectly Measured), with partner World only. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S260","Financial services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S236","Travel","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
